TEAM  STATUS,,,,,,,,,,,,,,,
SNo.,Team Name,Team ID,Year,Problem Statement,Category,GitHub Repo,Repo Size (KB),Languages,Total Commits,Active Days,Consistency (%),Contributors,Velocity (commits/day),Longest Streak (days),Activity Score
11,NavGati,26E3052,third,Smart Grid Load Prediction Using Deep Learning,,https://github.com/YAK-AGENCY-PVT-LTD/Smart-Grid-Load-Prediction-Using-Deep-Learning-By-Team-NavGati,19624,"Jupyter Notebook, Python",50,11,12.8,4,4.55,4,26.5
12,Techno_Crafts,26E3142,third,Unified University Management & Student Support Platform,,https://github.com/vaibhavvaid14/EduSphere,11427,"JavaScript, HTML, CSS",35,12,15.6,4,2.92,7,24.3
13,Mernifiers,26E3371,third,Unemployment Due to Limited Access to Skill-Based Work Opportunities,,https://github.com/ikhushichauhan/Mini_Project_II_MattersUrSkill,9024,,21,6,10.7,6,3.5,2,21.8
14,Team APG,26E3115,third,Real Time And Error-Prone Attendence Management,,https://github.com/preetarora3004/AttendX,192,"TypeScript, CSS, JavaScript",38,10,13.2,3,3.8,2,21.6
15,404s,26E3096,third,Data sharing using block chain,DeepTech & System-Based,https://github.com/MrinalMeha/demo-rep,46848,,0,0,0,10,0,0,20
16,Reboot Rebels,26E3238,third,PhantomShield: A Deception-Based Post-Authentication Security Architecture,,https://github.com/akansh024/PhantomShield,124,"Python, JavaScript, HTML",25,7,10.3,4,3.57,2,19.2
17,HYD_369,26E3072,third,An Independent Digital Real Estate Transaction Management System,,https://github.com/kiyopon77/blf,215,"Python, TypeScript, Dockerfile",25,6,8.1,4,4.17,2,18.7
18,Spark_AI_Team,26E3241,third,An Intelligent Hybrid AI Framework for Early Detection and Prediction of Academic Dropout Risk in Hi,IoT-Enabled Projects,https://github.com/rakesh4407/SparkAI-Student-Performance-Prediction,390,"HTML, Python, CSS",27,3,4.4,3,9,1,17.1
19,RUN DAA CODE,26E3166,third,AI‑Powered Fitness Form Coach for Safe Home & Gym Workouts,,https://github.com/Harshj00/HarshTrains,293,"JavaScript, CSS, HTML",35,10,13.3,1,3.5,3,17
20,Quantum Coders,26E3098,third,LLM Inference Gateway and Prompt Router: A Functional Replication of Modern LLM Serving Systems,,https://github.com/Anurag637/Quantum-Coders-26E3098,10582,Python,23,10,13.7,2,2.3,3,16.6
21,Brainbytes,26E3109,third,Explainable AI Framework for Early Detection of Mental Stress and Burnout Using Multimodal Behaviora,,https://github.com/poonam-021/explainable-ai-stress-burnout,3156,Jupyter Notebook,17,8,11.3,3,2.12,4,16.1
22,TechDivas,26E3253,third,AI-Based Student Performance Prediction System,University / Community Based Projects,https://github.com/shailjarathore/Student-Performance-Prediction-System,61,"HTML, Python",15,7,10.4,3,2.14,3,15
23,Mindful Machines,26E3066,third,FreshFarm@Campus,,https://github.com/Kshma-Agrawal/freshfarm-campus,1422,"JavaScript, CSS, HTML",35,5,6.5,1,7,3,14.8
24,Null Vector,26E3119,third,Design and Implementation of a Windows-Based Voice-Controlled Scripting Interpreter for Secure System Automation,,https://github.com/90sumit99/windows-voice-automation-assistant,977,"C++, Python",24,6,8.8,2,4,2,14.5
25,Cubicles,26E3058,third,AI-Powered Speech Therapy Assistant for Detecting and Improving Speech Fluency Disorders,,https://github.com/heyayushhh/Projexa-AI,3217,Python,25,5,6.8,2,5,2,14.3
26,AI Avengers,26E3141,third,Automated Resume Screening and Candidate Ranking System for Small Businesses,DeepTech & System-Based,https://github.com/Jayantparashar10/Resumease,211,"TypeScript, Python, JavaScript",17,5,6.9,3,3.4,2,14.3
27,Null Pointers,26E3170,third,ReelBite: Discover Food Through Short Videos,DeepTech & System-Based,https://github.com/ykhushbu941/ReelBite,2735,JavaScript,13,6,8.1,3,2.17,3,13.9
28,League of Coders,26E3074,third,Real-Time Air Quality Monitoring System with ML Prediction,,https://github.com/Anant-Goel2006/Real-Time-Air-Quality-Monitoring-System-with-ML-Prediction-Minor-Project-,14780,"Jupyter Notebook, JavaScript, Python",29,3,3.9,1,9.67,2,13.8
29,Visionary Coders,26E3075,third,Smart Traffic Management System Using IoT & Computer Vision,,https://github.com/TuShar528/-Smart-Traffic-Management-System-Using-IoT-Computer-Vision,2476,"TypeScript, Python, CSS",8,4,5.4,4,2,1,13.5
30,Team ABC,26E3126,third,A Hybrid Feature Fusion Framework for Robust Text Recognition in Degraded Document Images,,https://github.com/harddikgupta/ProjexaAI_TeamABC,17,Jupyter Notebook,11,9,12,2,1.22,3,13.5
31,Clover,26E3095,third,Custom Virtual Machine (VM) for a Simple Instruction Set,,https://github.com/Kashvi1811/Mini_Project_2026,115,"HTML, C++, Assembly",19,7,9.1,1,2.71,6,11.9
32,Tech Titans,26E3164,third,Feed Forward,,https://github.com/Ayush-Ahlawat/Minor-Project-6th-semester,57,"HTML, CSS, JavaScript",23,5,7,1,4.6,2,11.8
33,Power Pointers,26E3180,third,Transit Connect,University / Community Based Projects,https://github.com/HridayanshuYogi/Transit-connect,923,"JavaScript, TypeScript",7,5,6.8,3,1.4,1,11.8
34,Team Varun,26E3070,third,AI Based Autmated Quizz and Certificate Generator,,https://github.com/varunkasnia/Certifiacate-App,1371,"Python, Dockerfile",20,6,7.8,1,3.33,3,11.5
35,The Missing Semicolon,26E3209,third,VaultGuard: A Secure Digital Inheritance & Emergency Document Access System.,Start-Up,https://github.com/dubey233445/safe-haven-storage,237,"TypeScript, PLpgSQL, CSS",12,5,6.7,2,2.4,4,11.1
36,Tech Titans,26E3195,third,Hoestella,,https://github.com/fayyazkhan0825-coder/Hoestella,9,Dart,7,3,3.9,3,2.33,1,10.7
37,Lectra,26E3221,third,Automated Lecture Intelligence System for Enhanced Academic Learning,,https://github.com/BeastBoom/Lectra-A_Lecture_Intelligence_System,189,"TypeScript, Python, CSS",13,3,4.2,2,4.33,2,10.6
38,Thor,26E3089,third,An AI-Based Workload Pattern Analysis and Guidance System”,University / Community Based Projects,https://github.com/badhan9540/6-sem-project,12,,6,3,3.9,3,2,1,10.4
39,Cheetah,26E3106,third,DeepTech System for Intelligent Energy Coordination in Distributed Microgrids,DeepTech & System-Based,https://github.com/theabhinav0231/Intelligent-Microgrid,12849,Python,11,4,5.5,2,2.75,2,10.3
40,Shadow,26E3157,third,Unified College Interaction System,,https://github.com/harshitj183/unified-college-interaction-system-web,6106,,12,3,4.2,2,4,2,10.3
41,Team Coders,26E3056,third,GreenAudit – Campus Sustainability & Carbon Tracker,Industry-Based,https://github.com/Khushi831-ydv/Team-Coders-Sem6-MiniProject,19,"TypeScript, HTML",8,5,6.6,2,1.6,2,10.1
42,VisionGuard AI,26E3200,third,VISIONGUARD: Real-Time Pedestrian & Vehicle Detection and Alert System Using YOLOv9,University / Community Based Projects,https://github.com/Vinay-Partap/VisionGuard,10116,Python,10,7,9.5,1,1.43,3,9.9
43,Code_Flow,26E3267,third,Digital Complaint & Grievance Analytics System,University / Community Based Projects,https://github.com/harshhh044/code_flow,160,"JavaScript, CSS, HTML",13,6,10.3,1,2.17,5,9.9
44,Allied,26E3173,third,Automated Question Paper Generation Using AI and Bloom’s Taxonomy,,https://github.com/Akashkandari7/Sem6_Miniproject,85,"HTML, Python, Mako",7,5,7.4,2,1.4,3,9.8
45,NexGen Forge,26E3053,third,Neurix: A Universal Platform to Connect AI with Any Service Using MCP Servers,Industry-Based,https://github.com/ADARSH0309/Neurix,856,"TypeScript, HTML, JavaScript",16,4,4.8,1,4,2,9.7
46,Alpha coders,26E3091,third,Ai prevent public safety and alert system,Industry-Based,https://github.com/Adityasingh552/Citadel,63,"TypeScript, Python, CSS",10,2,2.6,2,5,1,9.7
47,NetDefenders,26E3156,third,Internship Management Portal – Internnova,,https://github.com/vartika43/Internship-Management-Portal---Internnova,4068,"JavaScript, HTML, CSS",8,4,5.4,2,2,3,9.5
48,Team 26E3321,26E3321,third,Real-time Election Data Monitoring System for Open-Source Integrity,,https://github.com/Nishant607/Real-time-Election-Data-Monitoring-System,73,"Python, HTML, CSS",8,7,13.7,1,1.14,4,9.4
49,dev x,26E3068,third,Food product explorer with ai api integration,Start-Up,https://github.com/lucky-smash/food-Product-explorer,21546,"JavaScript, CSS, HTML",13,5,7.2,1,2.6,2,9.3
50,Code Crafters,26E3189,third,"TRINETRA: AI-Powered Intelligent Traffic Monitoring , Violation detection and Emergency Response System",DeepTech & System-Based,https://github.com/ANM0L-22/TRINETRA,24230,Python,8,3,3.9,2,2.67,1,9
51,VYBE Wizards,26E3057,third,"AI-Powered Women Safety Application Using Voice Distress Detection, NLP Emergency Chat, and Generative AI",Industry-Based,https://github.com/HarshMishra16/Minor-Project_VYBE-Wizards_3rd-year,12171,"Jupyter Notebook, Dart, HTML",10,5,6.8,1,2,1,8.6
52,ICOGNITOBLASTERS,26E3084,third,Smart Notes Summarizer using AI for Academic Learning,,https://github.com/rk17-max/Notes-summarizer,36,"HTML, JavaScript",10,5,6.7,1,2,1,8.6
53,Code and Chaos,26E3152,third,AI-Based Environmental Risk Intelligence System for Air Pollution and Deforestation Impact Analysis,,https://github.com/AnushkaRana-12/EnviroAI,11,"Jupyter Notebook, Python",13,3,4.1,1,4.33,1,8.6
54,NetGuard,26E3243,third,Blockchain-Based Decentralized Identity for Secure IoT Device Onboarding,,https://github.com/Shahbaz-ali22/blockchain-iot-device-onboarding,12,,12,2,3,1,6,2,8.6
55,Team Sapphire,26E3149,third,"An AI-Powered SaaS Platform for Automated Content Creation, Image Processing, and Resume Analysis Using the PERN Stack",University / Community Based Projects,https://github.com/Krishna-KumarGupta/scholar-assist-ai,1754,"JavaScript, HTML",7,6,8.2,1,1.17,1,8.5
56,Bug Busters,26E3169,third,AI‑Powered Academic Assistant using Hybrid Retrieval‑Augmented Generation (RAG),,https://github.com/adi318krmu/FINAL_YEAR_PROJECT,6,Python,6,3,4.2,2,2,1,8.4
57,Quantum Leap,26E3063,third,Earthquake Response Prediction of Structures Using Deep Learning,,https://github.com/Abhishek6122008/Projexa-Earthquake-Project,253,Jupyter Notebook,5,3,3.9,2,1.67,1,8
58,Morvixan,26E3069,third,Real-time Nitrogen Oxides Emissions Monitoring System for Underground Subway Tunnels,,https://github.com/2301730207Sudhanshu/underground-subway-nox-monitoring-system,5297,"Jupyter Notebook, Python",9,4,5.6,1,2.25,2,7.7
59,Mild Minds,26E3188,third,Community-Oriented Evaluation Framework of Mobile Learning Apps,,https://github.com/yadavaman99/Mobile-Learning-Apps-Evaluator,5,Python,4,3,3.9,2,1.33,2,7.7
60,RAAVS,26E3192,third,Hybrid Feature-Based Vehicle Detection and Classification for Intelligent Traffic Analysis,DeepTech & System-Based,https://github.com/anmolnagal/TRAFFIC-PROJECT,4,"Python, PowerShell, Batchfile",3,3,4.1,2,1,1,7.4
61,SyntaxSquad,26E3118,third,AI-Based Student Dropout Risk Prediction and Early Intervention System,Industry-Based,https://github.com/Nishant28-sh/student-dropout-risk-prediction,8086,"Jupyter Notebook, Python, HTML",4,2,2.6,2,2,2,7.3
62,code trinity,26E3128,third,Agentic Internal University GPT (Multi-agent GenAl for academic & administrative queries),,https://github.com/Dianger16/3rd-year-project,396,"TypeScript, Python, PLpgSQL",4,2,2.7,2,2,1,7.3
63,BLazeStack,26E3055,third,IoT-Based Smart Classroom Environment Monitoring System,,https://github.com/shikhar11x/IoT-Based-Smart-Classroom-Environment-Monitoring-System-6th-SEM,1201,,3,2,2.7,2,1.5,1,6.9
64,MindMatrix,26E3140,third,Bytestock: Smart Inventory Management for Small Businesses,,https://github.com/harshit5845/ByteStock,3,,3,2,2.6,2,1.5,1,6.9
65,Pantheon,26E3160,third,Customer Support Automation Using Generative AI,DeepTech & System-Based,https://github.com/AeroScissors/Customer-Support-Automation-Using-Generative-AI,63,"JavaScript, Python, HTML",6,1,1.4,1,6,1,6.9
66,Team Noobs,26E3163,third,FAKE REVIEW DECTECTION,,https://github.com/ADITYAGUPTA112/FAKE_REVIEWS-,5332,"Jupyter Notebook, HTML, CSS",6,4,5.4,1,1.5,4,6.9
67,TON-618,26E3194,third,Implementation of a Distributed File System Using Client-Server Architecture,,https://github.com/ton-618-projects/cdfs,6,"C, Makefile",6,1,1.4,1,6,1,6.9
68,Future forge,26E3214,third,Integrated Student Support & Academic Service Platform,University / Community Based Projects,https://github.com/mehakk1727/student-support-academic-services,2749,,7,3,4.4,1,2.33,3,6.7
69,Unknown-Developers-X,26E3117,third,AI-Based Engineering Decision Review System for Preventing Long-Term Technical Debt,,https://github.com/Ashish5180/AI-Based-Engineering-Decision-Review-System,94,"TypeScript, Go, CSS",5,4,5.3,1,1.25,1,6.6
70,LifeTrek,26E3054,third,Progreso: A Focus-Based Productivity Web Application for Students,,https://github.com/RN005/Progreso,59,"JavaScript, CSS, HTML",4,4,7,1,1,2,6.4
71,Bhaichara,26E3107,third,"No-Code SaaS Platform for Building, Managing, and Automating Forms Without Development Effort",DeepTech & System-Based,https://github.com/Kapil-2005/Start-up-project-,82,"JavaScript, CSS, HTML",6,3,4.1,1,2,1,6.4
72,TwinTech,26E3121,third,Performance Analysis of Database Queey Execution Using JDBC with and without indexing,,https://github.com/Namrata710/Smart-Query-Analyzer,7,"Java, HTML",5,1,1.5,1,5,1,6.2
73,Racket Gang,26E3229,third,E-Attend: Centralized Digital Event & Attendance Management System for KRMU,University / Community Based Projects,https://github.com/7uyash/krmu-event-hub,489,"TypeScript, JavaScript, CSS",2,1,1.5,2,2,1,6.2
74,CodeX,26E3088,third,Industry Visit Discovery and Recommendation Platform Based on Academic Discipline”,,https://github.com/creativeriser/CodeX,147,"TypeScript, CSS, JavaScript",5,3,4,1,1.67,3,6
75,PyChamp,26E3122,third,AI-Based Personal Finance Risk Analyzer for Smart Expense Management,,https://github.com/Kartik311209/AI-Based-Personal-Finance-Risk-Analyzer-for-Smart-Expense-Management,14,Python,5,3,4.2,1,1.67,1,6
76,CodeMatrix,26E3185,third,Entry Gate Management App for Residential Society,,https://github.com/lakshay3749/projectMatrix,25,JavaScript,5,2,2.7,1,2.5,1,5.7
77,Innovix Team,26E3196,third,Secure Web-based Voting System Using Face Authentication,DeepTech & System-Based,https://github.com/Codeasits/Online-voting-system,1,,4,3,4.2,1,1.33,1,5.7
78,DeepThink,26E3261,third,AI-Based-Smart-Eco-Air-Pollution-Control-System,IoT-Enabled Projects,https://github.com/shubham055555/AI-Based-Smart-Eco-Air-Pollution-Control-System,4534,,4,3,4.7,1,1.33,1,5.7
79,Kairos,26E3102,third,AURA-Autonomous Unified Risk Auditor,DeepTech & System-Based,https://github.com/dewanshshekhar/AURA-Autonomous-Unified-Risk-Auditor,736,"Python, Motoko, TypeScript",4,1,1.3,1,4,1,5.5
80,Tech Turtles,26E3094,third,Vision-Based Intelligent Traffic Monitoring and Congestion Prediction System,,https://github.com/Aditi-saraswat22/Vision-Based-Intelligent-Traffic-Monitoring-and-Congestion-Prediction-System,157451,Python,4,2,2.9,1,2,1,5.3
81,Digital Architects,26E3083,third,AI-Based Student Performance Prediction & Early Warning System,,https://github.com/Dagar214/-Digital-Architects,4,,3,2,2.7,1,1.5,1,4.9
82,Tornhub,26E3155,third,AI-Driven Traffic Congestion Prediction and Adaptive Signal Control System,,https://github.com/BhaumikTanwar/smart-traffic-management-system,13,"HTML, Python",3,2,2.6,1,1.5,1,4.9
83,CodeCrafters,26E3158,third,Smart Classroom Feedback and Quality Monitoring System Using AI,,https://github.com/om-kumar100/Smart-Classroom-Feedback-and-Quality-System,3,"Python, HTML, CSS",3,1,1.4,1,3,1,4.9
84,Core Five,26E3168,third,An Air Quality Monitoring and Forecasting System for Lima City Using Low-Cost Sensors and Artificial,,https://github.com/NishchayChaudhary/minor-project-2025,6,"Jupyter Notebook, Python",3,2,3.1,1,1.5,1,4.9
85,Neural Knights,26E3182,third,AI-Based Anomaly Detection System for System Logs,,https://github.com/abdulwaheedal/AI_Anamoly_Detection_using_logs,425,Jupyter Notebook,3,2,3.8,1,1.5,2,4.9
86,RiftStack,26E3087,third,Cognitive Pattern Intelligence for Student Behavioral Insights,,https://github.com/HarshSen-hub/STUD_,42,"CSS, JavaScript, HTML",2,2,2.6,1,1,1,4.4
87,Innovation Ke Shaukeeen,26E3116,third,Intelligent Search Engine for KRMU Campus Resources,,https://github.com/Aniket-M07/Innovation-K-Shaukeen-,104,"HTML, Python, CSS",2,2,3,1,1,1,4.4
88,CodeStorm,26E3129,third,Detection of DoS Attacks using Honeypot System,DeepTech & System-Based,https://github.com/Dahiyakhushi/dos,2,,2,2,2.7,1,1,1,4.4
89,Aeonark,26E3211,third,Intelligent RFP Clause Matching and Relevance Scoring System (AeonRFP MVP),Start-Up,https://github.com/aeonark/AeonRFP,157,"TypeScript, CSS, JavaScript",2,2,2.7,1,1,1,4.4
90,NullX,26E3242,third,Designing a Standardized Educational Quality Benchmark for Learning Apps,,https://github.com/Seemakanwar2005/MINOR---PROJECT---NULLX,7756,,2,2,3,1,1,1,4.4
91,TEAM INVINCIBLE,26E3254,third,SUBTITLE TRANSLATOR APPLICATION,Industry-Based,https://github.com/avinash165288/Subtitle-Translator,7576,"Python, JavaScript, HTML",2,2,3.1,1,1,1,4.4
92,Dark,26E3078,third,Bug Tracker System,University / Community Based Projects,https://github.com/priyanshu00099/Bug-Tracker-System,12349,"JavaScript, CSS, HTML",2,1,1.4,1,2,1,4.2
93,Pixxy,26E3108,third,Finance Guardian,Start-Up,https://github.com/sus-95/Finance-Guardian-,5,Python,2,1,1.8,1,2,1,4.2
94,Code_Crafters,26E3135,third,AI-Based Resume Analyzer & Job Matching System,,https://github.com/Shreyashjha1/Code_crafters,8,"Jupyter Notebook, HTML, Python",2,1,1.4,1,2,1,4.2
95,DEVX,26E3190,third,StudySphere – An AI-Based Study Companion for Smart Learning & Productivity Enhancement,,https://github.com/triptikhandelwal1/StudySphere,2,,2,1,1.4,1,2,1,4.2
96,AlgoZen,26E3215,third,To design an AI-driven traffic governance system that predicts cloud system overload in advance and intelligently controls incoming traffic to maintain performance and reliability.,Research,https://github.com/shivxnii/projexa.ai,10,Python,2,1,1.5,1,2,1,4.2
97,iconic Esports,26E3219,third,Smart Placement Management System for Universities,University / Community Based Projects,https://github.com/sunnyfarmana/Smart-Placement-Management-System-for-Universities,2,,2,1,2,1,2,1,4.2
98,Inno_Ved,26E3255,third,Emotion Recognition System,Research,https://github.com/yashjha15/Inno_Ved-facial-emotion-recognition,2,,2,1,1.5,1,2,1,4.2
99,coding maniac,26E3174,third,"A System-Level AI Framework for Energy Forecasting, Anomaly Detection, and Wastage Reduction.",DeepTech & System-Based,https://github.com/Jatinbisht2207/ai-based-optimization-platform,982,Python,4,3,3.9,0,1.33,2,3.7
100,Pixxy,26E3050,third,Microservices-Based Learning Management System (LMS) for Universities,,https://github.com/jainnirdesh/Microservices-Based-Learning-Management-System-LMS-for-Universities,1,,1,1,1.2,1,1,1,3.5
101,Mind Flayer Coders,26E3051,third,Mental Health Support & Early Risk Detection Platform for Students,,https://github.com/deevanshi12/Minor_Project,0,,1,1,1.3,1,1,1,3.5
102,Tech Titans,26E3060,third,Low-Resource LLM-Based Academic Question Generator for Personalized Learning,,https://github.com/KrishCoder23/Minor-Project-Sem-VI,0,,1,1,1.3,1,1,1,3.5
103,Demonic Debuggers,26E3065,third,ML-Based Fairness Monitoring in Public Welfare Systems,University / Community Based Projects,https://github.com/aayuuu9/Public-Welfare-System,0,,1,1,1.6,1,1,1,3.5
104,NeuroNova,26E3077,third,AI-Powered Secure Personal Productivity Agent with Intelligent Authentication,DeepTech & System-Based,https://github.com/akshitagoel11/aura,114,"TypeScript, CSS, JavaScript",1,1,1.3,1,1,1,3.5
105,Kyros,26E3079,third,Real-time Adaptive Traffic Signal Control System for Multimodal Transportation in Urban Canyons,DeepTech & System-Based,https://github.com/dabasdeepika/Real-time-Adaptive-Traffic-Signal-Control-System-for-Multimodal-Transportation-in-Urban-Canyons,3,,1,1,2.1,1,1,1,3.5
106,KRMU CODERS,26E3085,third,BuildDB: Hands-On Mini Database Engine,,https://github.com/Bhumit-Tanwar/Mini-Database-Engine,0,,1,1,1.3,1,1,1,3.5
107,Jugaad Level_Pro,26E3101,third,VoiceAid- AI Voice Companion for Elderly Care and Emergencies,,https://github.com/PirateKing-MONKEYDLUFFY/MINOR-PROJECT,0,,1,1,1.4,1,1,1,3.5
108,Codex predators,26E3104,third,Script-Aware Synthetic Scene Text Generation Using Generative AI for Multilingual OCR,,https://github.com/Adityan20-cod/Script-Aware-Synthetic-Scene-Text-Generation-using-Generative-AI-for-Multilingual-OCR,0,,1,1,1.3,1,1,1,3.5
109,BEING MUSKETEERS,26E3105,third,Performance Analysis of Auto-Scaling Policies in Cloud Computing Environments,,https://github.com/NYCTOHXWK/BEING_MUSKETEERS,0,,1,1,1.5,1,1,1,3.5
110,Team CMYK,26E3123,third,Dyslexia-Specific Pedagogical Framework for Inclusive Learning in Multilingual Indian Contexts,Research,https://github.com/tanushreecodes/Team-CMYK,0,,1,1,1.6,1,1,1,3.5
111,Asteroid,26E3131,third,"CO–PO Attainment and Performance Analytics System In Outcome-Based Education (OBE), Course Outcomes (COs) and Program Outcomes (POs) play a crucial role in evaluating the academic performance of students and the effectiveness of teaching methodologies. However, in the current system, faculty members face significant challenges in mapping COs to POs, tracking student performance, and analyzing attainment data in a structured and scalable manner.",Start-Up,https://github.com/axdy02/Kurl-timetable,0,,1,1,1.4,1,1,1,3.5
112,CoreVelocity Forerunners,26E3133,third,"Design of a Secure, Privacy-Preserving Federated Learning Framework for Decentralized Data Analytics",DeepTech & System-Based,https://github.com/sai-nayan/Federated-Learning-Framework-for-Decentralized-Data-Analytics,0,,1,1,1.4,1,1,1,3.5
113,Pegasus,26E3136,third,"The ""AI vs. Human"" Text Classifier",,https://github.com/parvarora0101/The-AI-vs-Human-Text-Clasifier,0,,1,1,2.1,1,1,1,3.5
114,CareOps Pirates,26E3139,third,PharmaGO — AI-Powered Healthcare Operations Automation Platform,University / Community Based Projects,https://github.com/CareOP/PharmaGO,5,,1,1,1.4,1,1,1,3.5
115,Zero one,26E3145,third,Digital Literacy Platform for Local Rural Schools,,https://github.com/shrvn12/third_yr_mini_project,0,,1,1,1.4,1,1,1,3.5
116,Byteon,26E3147,third,Design and Implementation of a Traffic Prediction Engine Using Time-Series Algorithms,,https://github.com/AaravKumar7/Traffic-Prediction-Engine,0,,1,1,1.5,1,1,1,3.5
117,Team_Unit,26E3150,third,Data-Driven Assessment of Indoor Thermal Comfort Using Statistical and Machine Learning Models,,https://github.com/Divya1163/Minor-Project-Sem-6,0,,1,1,1.4,1,1,1,3.5
118,Growing Minds,26E3154,third,AI-Powered Smart Interview & Resume Screening System,DeepTech & System-Based,https://github.com/reachsanyogita15/Growing-Minds,5,,1,1,1.4,1,1,1,3.5
119,Coffee and Code,26E3165,third,Smart Interview Preparation Platform,,https://github.com/Kaurgxg/Smart-Interview-Preparation-Platform,141,"TypeScript, CSS, JavaScript",1,1,1.3,1,1,1,3.5
120,Tensor Titans,26E3171,third,AI-Based Handwritten Answer Sheet Evaluation System,DeepTech & System-Based,https://github.com/nikukaushik001/Minor-Project-Pre-Final,7574,Python,1,1,1.3,1,1,1,3.5
121,Astryx,26E3178,third,Hybrid Secure Data Aggregation for Smart Grids using Homomorphic Encryption and Differential Privacy,,https://github.com/Varsha-Gaur/Mini-Project---Astryx,0,,1,1,1.4,1,1,1,3.5
122,_primitive,26E3183,third,Dynamic Differential Learning & Monitoring Portal: An Adaptive System for Personalised Academic Intervention and Peer Mentorship,University / Community Based Projects,https://github.com/aarushi-sharma-09/Differential-Learning-Student-Monitoring-System,2,,1,1,1.4,1,1,1,3.5
123,Logic Loop,26E3197,third,Emotion recongnition System,University / Community Based Projects,https://github.com/SahilBhardwaj12/Emotion-Recognition-System,0,,1,1,1.3,1,1,1,3.5
124,TechBuddies,26E3198,third,Data-Driven Academic Resource Sharing and Analytics Platform for College Students,University / Community Based Projects,https://github.com/kryn0x/Data-Driven-Academic-Resource-Sharing-and-Analytics-Platform-for-College-Students,3,,1,1,1.4,1,1,1,3.5
125,Team WebCore,26E3203,third,University Placement Management System,University / Community Based Projects,https://github.com/diksha12345612/University-Placement-Management-System,1,,1,1,1.3,1,1,1,3.5
126,Astro,26E3205,third,Vision-Based Smart Classroom Environment Monitoring System,,https://github.com/Arghadipkuri003/Vision-based-smart-classroom26,0,,1,1,1.4,1,1,1,3.5
127,DuoJexa,26E3218,third,Library Management System,University / Community Based Projects,https://github.com/Sophia2Soni/StudentManagementSystem,0,,1,1,1.8,1,1,1,3.5
128,Anvesana India,26E3220,third,Exam-Focused Generative AI Study Assistant Using Retrieval-Augmented Generation with Citation and Hallucination Control,DeepTech & System-Based,https://github.com/ShreyanshVaibhaw/SAFES-Source-Aware-Framework-for-Exam-Support-,104,"Python, Shell, Dockerfile",1,1,1.6,1,1,1,3.5
129,NeuroNet,26E3226,third,AI-Based UPI Fraud Detection System,Industry-Based,https://github.com/Saksham-24/AI-Based-UPI-Fraud-Detection-System,0,,1,1,1.4,1,1,1,3.5
130,Tech Titans,26E3231,third,Scalability & performance bottlenecks in Blockchain architectures under high concurrent applicationo,Research,https://github.com/abhirajx18-tech/scalability-and-performance,4,,1,1,1.6,1,1,1,3.5
131,Code Crew,26E3235,third,Automated Campus Sustainability & Waste Audit,,https://github.com/teeyatewatia7447/Minor-project-sem-4-,0,,1,1,1.4,1,1,1,3.5
